country,state,year,demand_gwh,emissions_ktco2,emissions_intensity_gco2_per_kwh
India,Andaman and Nicobar,2019,110.35,62.89,569.91
India,Andaman and Nicobar,2020,161.25,89.69,556.22
India,Andaman and Nicobar,2021,130.86,68.19,521.09
India,Andaman and Nicobar,2022,214.93,125.49,583.87
India,Andaman and Nicobar,2023,368.26,234.18,635.91
India,Andhra Pradesh,2019,76527.64,48429.72,632.84
India,Andhra Pradesh,2020,64560.37,38549.88,597.11
India,Andhra Pradesh,2021,75339.81,46032.85,611.0
India,Andhra Pradesh,2022,80314.15,49845.18,620.63
India,Andhra Pradesh,2023,88155.66,57238.23,649.29
India,Arunachal Pradesh,2019,1649.85,39.63,24.02
India,Arunachal Pradesh,2020,3200.6,76.86,24.01
India,Arunachal Pradesh,2021,4064.31,97.58,24.01
India,Arunachal Pradesh,2022,4859.21,117.16,24.11
India,Arunachal Pradesh,2023,4292.0,103.06,24.01
India,Assam,2019,7954.13,4424.69,556.28
India,Assam,2020,6035.06,3853.22,638.47
India,Assam,2021,8052.1,4883.91,606.54
India,Assam,2022,9088.2,5737.26,631.29
India,Assam,2023,9462.29,5904.31,623.98
India,Bihar,2019,35451.97,28764.23,811.36
India,Bihar,2020,32780.68,26651.68,813.03
India,Bihar,2021,41386.36,33796.45,816.61
India,Bihar,2022,54324.49,44356.04,816.5
India,Bihar,2023,57699.38,47080.64,815.96
India,Chandigarh,2019,11.99,0.58,48.37
India,Chandigarh,2020,9.86,0.47,47.67
India,Chandigarh,2021,14.81,0.71,47.94
India,Chandigarh,2022,12.0,0.58,48.33
India,Chandigarh,2023,13.57,0.65,47.9
India,Chhattisgarh,2019,114857.06,93338.48,812.65
India,Chhattisgarh,2020,132504.24,107403.18,810.56
India,Chhattisgarh,2021,141481.27,114441.14,808.88
India,Chhattisgarh,2022,141405.75,114498.64,809.72
India,Chhattisgarh,2023,163250.79,132001.99,808.58
India,Dadra and Nagar Haveli and Daman and Diu,2019,27.68,1.33,48.05
India,Dadra and Nagar Haveli and Daman and Diu,2020,38.6,3.17,82.12
India,Dadra and Nagar Haveli and Daman and Diu,2021,90.74,6.58,72.52
India,Dadra and Nagar Haveli and Daman and Diu,2022,53.97,3.8,70.41
India,Dadra and Nagar Haveli and Daman and Diu,2023,25.04,2.97,118.61
India,Delhi,2019,6082.54,2799.72,460.29
India,Delhi,2020,5809.1,2659.45,457.81
India,Delhi,2021,5550.78,2522.83,454.5
India,Delhi,2022,4673.96,2067.62,442.37
India,Delhi,2023,4249.73,1775.15,417.71
India,Goa,2019,0.4,0.02,50.0
India,Goa,2020,1.48,0.07,47.3
India,Goa,2021,2.59,0.12,46.33
India,Goa,2022,20.49,0.94,45.88
India,Goa,2023,57.44,2.68,46.66
India,Gujarat,2019,123634.74,78023.87,631.08
India,Gujarat,2020,122497.23,73073.25,596.53
India,Gujarat,2021,97564.43,52969.89,542.92
India,Gujarat,2022,93681.73,46274.17,493.95
India,Gujarat,2023,122268.05,59627.0,487.67
India,Haryana,2019,20093.04,15755.53,784.13
India,Haryana,2020,13347.43,10152.74,760.65
India,Haryana,2021,23298.47,18259.48,783.72
India,Haryana,2022,32961.43,25973.86,788.01
India,Haryana,2023,30537.98,23900.77,782.66
India,Himachal Pradesh,2019,42917.65,1030.14,24.0
India,Himachal Pradesh,2020,40733.18,978.43,24.02
India,Himachal Pradesh,2021,37719.72,906.29,24.03
India,Himachal Pradesh,2022,41676.54,1001.61,24.03
India,Himachal Pradesh,2023,39115.11,940.13,24.04
India,India Total,2019,1378509.84,853374.5,619.06
India,India Total,2020,1342629.11,813949.31,606.24
India,India Total,2021,1470121.58,911102.31,619.75
India,India Total,2022,1594834.19,981474.6,615.41
India,India Total,2023,1704979.42,1066112.4,625.29
India,Jammu and Kashmir,2019,18508.58,444.21,24.0
India,Jammu and Kashmir,2020,18511.26,444.4,24.01
India,Jammu and Kashmir,2021,17460.43,419.19,24.01
India,Jammu and Kashmir,2022,17394.05,417.46,24.0
India,Jammu and Kashmir,2023,16684.38,400.43,24.0
India,Jharkhand,2019,26351.56,21492.5,815.61
India,Jharkhand,2020,26918.69,21873.28,812.57
India,Jharkhand,2021,28545.14,22972.71,804.79
India,Jharkhand,2022,30768.09,24950.62,810.93
India,Jharkhand,2023,34005.33,27708.68,814.83
India,Karnataka,2019,69127.19,21593.15,312.37
India,Karnataka,2020,67118.43,16882.38,251.53
India,Karnataka,2021,78848.08,26852.91,340.57
India,Karnataka,2022,84004.97,29721.84,353.81
India,Karnataka,2023,92064.71,37347.19,405.66
India,Kerala,2019,6350.35,166.85,26.27
India,Kerala,2020,7107.53,183.62,25.84
India,Kerala,2021,10710.98,326.07,30.44
India,Kerala,2022,10434.48,276.86,26.53
India,Kerala,2023,7462.74,220.44,29.54
India,Ladakh,2021,258.39,6.2,24.0
India,Ladakh,2022,404.35,9.7,23.99
India,Ladakh,2023,390.33,9.37,24.01
India,Lakshadweep,2019,0.65,0.03,46.15
India,Lakshadweep,2020,0.55,0.03,54.55
India,Lakshadweep,2021,0.35,0.02,57.14
India,Lakshadweep,2022,0.11,0.01,90.91
India,Lakshadweep,2023,62.91,51.51,818.79
India,Madhya Pradesh,2019,128620.24,94428.37,734.16
India,Madhya Pradesh,2020,134943.69,98801.37,732.17
India,Madhya Pradesh,2021,141572.95,105271.68,743.59
India,Madhya Pradesh,2022,153057.96,112896.12,737.6
India,Madhya Pradesh,2023,160013.02,118645.68,741.48
India,Maharashtra,2019,145819.71,92503.92,634.37
India,Maharashtra,2020,127575.7,81279.8,637.11
India,Maharashtra,2021,153628.75,100866.57,656.56
India,Maharashtra,2022,156527.02,103041.97,658.3
India,Maharashtra,2023,167314.42,110968.2,663.23
India,Manipur,2019,370.25,8.95,24.17
India,Manipur,2020,578.31,14.05,24.3
India,Manipur,2021,497.57,12.11,24.34
India,Manipur,2022,528.41,12.88,24.38
India,Manipur,2023,289.78,7.17,24.74
India,Meghalaya,2019,1077.54,25.86,24.0
India,Meghalaya,2020,1183.95,28.41,24.0
India,Meghalaya,2021,926.22,22.24,24.01
India,Meghalaya,2022,1056.84,25.36,24.0
India,Meghalaya,2023,871.46,20.92,24.01
India,Mizoram,2019,216.77,5.21,24.04
India,Mizoram,2020,190.39,4.58,24.06
India,Mizoram,2021,151.82,3.73,24.57
India,Mizoram,2022,255.25,6.19,24.25
India,Mizoram,2023,218.46,5.32,24.35
India,Nagaland,2019,244.74,5.87,23.99
India,Nagaland,2020,267.04,6.39,23.93
India,Nagaland,2021,182.15,4.37,23.99
India,Nagaland,2022,287.66,6.9,23.99
India,Nagaland,2023,251.25,6.03,24.0
India,Odisha,2019,46895.52,32598.79,695.14
India,Odisha,2020,61492.21,44206.74,718.9
India,Odisha,2021,64922.31,48057.4,740.23
India,Odisha,2022,69955.29,52146.05,745.42
India,Odisha,2023,73059.0,54256.26,742.64
India,Others,2019,0.0,0.0,
India,Others,2020,0.0,0.0,
India,Others,2021,0.0,0.0,
India,Puducherry,2019,241.84,116.85,483.17
India,Puducherry,2020,252.14,121.58,482.19
India,Puducherry,2021,253.77,118.94,468.69
India,Puducherry,2022,249.22,116.71,468.3
India,Puducherry,2023,246.09,115.18,468.04
India,Punjab,2019,31520.05,19752.1,626.65
India,Punjab,2020,23076.88,12775.56,553.61
India,Punjab,2021,30023.77,19247.9,641.09
India,Punjab,2022,37884.33,25110.4,662.82
India,Punjab,2023,42202.4,27226.62,645.14
India,Rajasthan,2019,70421.71,39521.34,561.21
India,Rajasthan,2020,69126.65,36886.63,533.61
India,Rajasthan,2021,77687.56,40685.92,523.71
India,Rajasthan,2022,104117.75,48814.03,468.84
India,Rajasthan,2023,113320.86,50699.51,447.4
India,Sikkim,2019,11099.39,266.39,24.0
India,Sikkim,2020,10964.49,263.15,24.0
India,Sikkim,2021,11361.92,272.69,24.0
India,Sikkim,2022,11901.62,285.89,24.02
India,Sikkim,2023,9342.65,224.22,24.0
India,Tamil Nadu,2019,101416.04,54055.58,533.01
India,Tamil Nadu,2020,94606.2,44473.05,470.09
India,Tamil Nadu,2021,103126.14,50134.71,486.15
India,Tamil Nadu,2022,113502.77,54100.54,476.65
India,Tamil Nadu,2023,121489.89,59487.81,489.65
India,Telangana,2019,59700.71,40352.43,675.91
India,Telangana,2020,53734.14,35970.98,669.43
India,Telangana,2021,63878.35,42223.91,661.01
India,Telangana,2022,63858.47,41884.31,655.89
India,Telangana,2023,64026.64,45490.01,710.49
India,Tripura,2019,6704.99,3269.66,487.65
India,Tripura,2020,6461.67,3157.91,488.71
India,Tripura,2021,6399.38,3130.24,489.15
India,Tripura,2022,6936.84,3396.11,489.58
India,Tripura,2023,6823.72,3341.32,489.66
India,Uttar Pradesh,2019,129281.1,98293.85,760.31
India,Uttar Pradesh,2020,127926.62,96082.65,751.08
India,Uttar Pradesh,2021,141082.85,107365.67,761.01
India,Uttar Pradesh,2022,160193.22,122844.18,766.85
India,Uttar Pradesh,2023,164890.26,126356.75,766.31
India,Uttarakhand,2019,17502.77,1319.56,75.39
India,Uttarakhand,2020,16047.92,706.65,44.03
India,Uttarakhand,2021,16213.89,1191.68,73.5
India,Uttarakhand,2022,16575.0,456.8,27.56
India,Uttarakhand,2023,15431.06,594.59,38.53
India,West Bengal,2019,77719.11,60482.19,778.22
India,West Bengal,2020,72865.54,56293.96,772.57
India,West Bengal,2021,87692.52,67929.43,774.63
India,West Bengal,2022,91653.64,70951.4,774.13
India,West Bengal,2023,95022.76,74117.42,780.0
